 temp, xaxis, yaxis, zaxis
 57.2,  1.19, -0.77, -0.78
 57.7,  1.21, -0.81, -0.77
 58.2,  1.23, -0.75, -0.78
 58.6,  1.23, -0.77, -0.79
 59.1,  1.24, -0.77, -0.78
 59.5,  1.23, -0.75, -0.77
 60.0,  1.24, -0.78, -0.76
 60.5,  1.26, -0.78, -0.76
 60.9,  1.26, -0.77, -0.78
 61.2,  1.28, -0.75, -0.77
 61.5,  1.28, -0.79, -0.78
 61.8,  1.26, -0.76, -0.78
 62.1,  1.27, -0.77, -0.78
 62.4,  1.24, -0.77, -0.79
 62.6,  1.28, -0.78, -0.80
 62.9,  1.28, -0.77, -0.77
 63.1,  1.25, -0.79, -0.76
 63.4,  1.27, -0.75, -0.79
 63.7,  1.29, -0.75, -0.78
 64.1,  1.30, -0.76, -0.80
 64.5,  1.28, -0.78, -0.78
 64.8,  1.29, -0.76, -0.78
 65.1,  1.33, -0.78, -0.79
